input,response
What do you remember?,They stabbed me Olly...he put a knife in my heart I shouldn't be here
"Afterwards, after they stabbed you, after you died, where did you go? What did you see?",Nothing There was nothing at all
"You were dead And now you're not That's completely fucking mad, seems to me I can only imagine how it seems to you",I did what I thought was right And I got murdered for it And now I'm back Why?
I don't know Maybe we'll never know What does it matter? You go on You fight for as long as you can You clean up as much of the shit as you can,"I don't know how to do that I thought I did, but...I failed"
They think you're some kind of god The man who returned from the dead,I'm not a god
Your eyes are still brown Is that still you in there?,I think so Hold off on burning my body for now
It's time,"If you have any last words, now is the time"
You shouldn't be alive It's not right,Neither was killing me
"I had a choice, Lord Commander Betray you or betray the Night's Watch You brought an army of wildlings into our lands An army of muderers and raiders If I had to do it all over knowing where I'd end up, I pray I'd make the right choice again","I'm sure you would, Ser Alliser"
We should burn the bodies,You should
What do you want me to do with this?,Wear it Burn it Whatever you want You have Castle Black
Wear it Burn it Whatever you want You have Castle Black,My watch is ended
Where you gonna go?,South
What are you gonna do?,Get warm
I was with you at Hardhome We saw what's out there We know it's coming here How can you leave us now?,I did everything I could You know that
You swore a vow,"Aye, I pledged my life to the Night's Watch I gave my life"
For all nights to come,"They killed me, Edd! My own brothers You want me to stay here after that?"
This is good soup Do you remember those kidney pies Old Nan used to make?,With the peas and onions?
Mmm,We never should have left Winterfell
"Don't you wish we could go back to the day we left? I want to scream at myself, “Don't go, you idiot”",How could we know?
I spent a lot of time thinking about what as ass I was to you I wish I could change everything,We were children
"I was awful, just admit it",You were occasionally awful I'm sure I can't have been great fun Always sulking in the corner while the rest of you played
Can you forgive me?,There's nothing to forgive
Forgive me,"All right All right, I forgive you"
"All right All right, I forgive you","You'd think after thousands of years, the Night's Watch would have learned how to make a good ale"
Where will you go?,"Where will we go? If I don't watch over you, Father's ghost will come back and murder me"
Where will we go?,"I can't stay here, not after what happened"
There's only one place we can go Home,Should we tell the Boltons to pack up and leave?
We'll take it back from them,I don't have an army
How many wildlings did you save?,They didn't come here to serve me
You think they'll be safe here if Roose Bolton remains Warden of the North?,Sansa
"Winterfell is our home It's ours and Arya's and Bran's and Rickon's Wherever they are, it belongs to our family We have to fight for it",I'm tired of fighting
I'm tired of fighting,It's all I've done since I left home I've killed brothers of the Night's Watch I've killed wildlings I've killed men that I admire I hanged a boy younger than Bran I fought and I lost
"A letter for you, Lord Commander.",I'm not Lord Commander anymore.
I'm not Lord Commander anymore.,SNOW takes the letter. The man leaves. JON SNOW sees the seal of House Bolton. He opens the scroll and starts reading.
SNOW takes the letter. The man leaves. JON SNOW sees the seal of House Bolton. He opens the scroll and starts reading.,"To the traitor and bastard Jon Snow. You allowed thousands of wildlings past the Wall. You have betrayed your own kind. You have betrayed the North. Winterfell is mine, bastard. Come and see. Your brother Rickon is in my dungeon."
"To the traitor and bastard Jon Snow. You allowed thousands of wildlings past the Wall. You have betrayed your own kind. You have betrayed the North. Winterfell is mine, bastard. Come and see. Your brother Rickon is in my dungeon.",SNOW looks at SANSA.
SNOW looks at SANSA.,"His direwolf's skin is on my floor. Come and see. I want my bride back. Send her to me, bastard, and I will not trouble you or your wildling lovers. Keep her from me and I will ride north and slaughter every wildling man, woman, and babe living under your protection. You will watch as I skin them living. You --"
Go on.,It's just more of the same.
It's just more of the same.,"SNOW puts the letter away, but SANSA takes it and continues reading."
"You will watch as my soldiers take turns raping your sister. You will watch as my dogs your wild little brother. Then I will spoon your eyes from their sockets and let my dogs do the rest. Come and see. Ramsay Bolton, Lord of Winterfell and Warden of the North.",Lord of Winterfell and Warden of the North.
His father's dead. Ramsay killed him. And now he has Rickon.,We don't know that.
"I heard him say 5,000 once when he was talking about Stannis's attack.",How many do you have?
A monster has taken our home and our brother. We have to go back to Winterfell and save them both.,SNOW nods.
No.,"We can't defend the north from the Walkers and the south from the Boltons. If we want to survive, we need Winterfell, and to take Winterfell, we need more men."
"They may well be loyal, but how many rose up against the Boltons when they betrayed your family? I may not know the North, but I know men. They're more or less the same in any corner of the world and even the bravest of them don't want to see their wives and children skinned for a lost cause. If Jon's going to convince them to fight alongside him, they need to believe it's a fight they can win.","There are more than three other houses in the North -- Glover, Mormont, Cerwyn, Mazin, Hornwood. Two dozen more. Together they equal all the others. We can start small and build."
My uncle the Blackfish has reformed it and retaken Riverrun.,How do you know that?
Then why did you lie to him when he asked you how you learned about Riverrun?,New dress?
I made it myself. Do you like it?,"Year, it's -- I like the wolf bit."
I made it like the one Father used to wear. As near as I can remember.,"Thank you, Sansa."
You're welcome.,Don't knock it down while I'm gone.
"Remember Mance's camp? It stretched all the way to the horizon. And look at us now. Look what's left of us. And if we lose this, we're gone. Dozens of tribes, hundreds of generations. Be like we were never there at all. We'll be the last of the free folk.","That's what'll happen to you if we lose. The Boltons, the Karstarks, the Umbers, they know you're here. They know that more than half of you are women and children. After they finish with me, they'll come for you. You're right. This isn't your fight. You shouldn't have to come to Winterfell with me. I shouldn't be asking you. It's not the deal we made. I need you with me if we're gonna beat them, and we need to beat them if you're going to survive."
Snow.,Are you sure they'll come?
You've got one hand. My money's on the old boy.,Lady Mormont.
"I doubt it. My mother wasn't a great beauty or any other kind of beauty. She was a great warrior, though. She died fighting for your brother, Robb.","I served under your uncle at Castle Black, Lady Lyanna. He was also a great warrior and an honorable man. I was his steward. In fact- -"
I think we've had enough small talk. What are you here?,Stannis Baratheon garrisoned at Castle Black before he marched on Winterfell and was killed. He showed me the letter you wrote to him when he petitioned for men. It said- -
I remember what it said. “Bear Island knows no king but the King in the North whose name is Stark.”,"Robb is gone, but House Stark is not. And it needs your support now more than ever. I've come with my sister to ask for House Mormont's allegiance."
"If you say so. In any case, you don't just want my allegiance. You want my fighting men.","Ramsay Bolton cannot be allowed to keep Winterfell, my lady. It is our duty to stop him. Even more so because he holds our brother Rickon Stark as prisoner. What you have to understand, my lady, is that- -"
Is this true?,Your uncle fought them at the Fist of the First Men. I fought them at Hardhome. We both lost.
"House Mormont has kept faith with House Stark for 1,000 years. We will not break faith today.","Thank you, my lady. How many fighting men can we expect?"
62.,62?
The answer is no.,"Lord Glover, if you could just hear us out."
I've heard enough. We've only just taken back this castle from the Ironborn. The Boltons helped us do it. Now you want me to fight against them? I could be skinned for even talking to you.,The Boltons are traitors. Roose Bolton- -
Have other northern houses pledged to fight for you?,House Mormont.
And?,We sent raven to Houses Manderly- -
I don't care about ravens. You're asking me to join your army. Who is fighting in this army?,The bulk of the force is made up of wildlings.
Then the rumors are true. I didn't dare believe them. I received you out of respect for your father. Now I would like you to leave. House Glover will not abandon its ancestral home to fight alongside wildlings.,Lord Glover.
He was the most experienced commander in Westeros. He chose this place for a reason. Those mountains are a natural fortification. There's a stream down there for the horses.,We're not staying here long. Another storm could hit any day..
"Aye, the snows defeated Stannis as much as the Boltons did.",We have to march on Winterfell now while we still can.
So he's your most trusted advisor now? Because he secured 62 men from a ten year old?,Ser Davos is the reason I'm standing here talking to you and he served Stannis for years.
It's not enough. We need more men.,There's no time.
"If we went down to Castle Cerwyn, I know that Lord- -",We fight with the army we have.
"Tell your people what happened here. Tell them you live by the grace of Her Majesty. When they come forward with notions of retribution or ideas about returning the slave cities to their former glory, remind the what happened when Daenerys Stormborn and her dragons came to Meereen.",You don't have to be here.
"Thank you for returning Lady Bolton safely. Now, dismount and kneel before me, surrender your army and proclaim me the true Lord of Winterfell and Warden of the North. I will pardon you for deserting the Night's Watch. I will pardon these treasonous lords for betraying my house. Come, bastard, you don't have the men, you don't have the horses, and you don't have Winterfell. Why lead those pour souls into slaughter? There's no need for a battle. Get off your hose and kneel. I'm a man of mercy.",You're right. There's no need for a battle. Thousands of men don't need to die. Only one of us. Let's end this the old way. You against me.
"I keep hearing stories about you, bastard. The way people in the North talk about you, you're the greatest swordsman who ever walked. Maybe you are that good. Maybe not. I don't know if I'd beat you. But I know that my army will beat yours. I have 6,000 men. You have, what, half that? Not even?","Aye, you have the numbers. Will your men want to fight for you when they hear you wouldn't fight for them?"
"She's a fine woman, your sister. I look forward to having her back in my bed. And you're all fine-looking men. My dogs are desperate to meet you. I haven't fed them for seven days. They're ravenous. I wonder which parts they'll try first. Your eyes? Your balls? We'll find out soon enough. In the morning, then, bastard.","If he was smart, he'd stay inside the walls of Winterfell and wait us out."
"That's not his way. He knows the North is watching. If the other houses sense weakness on his part, they'll stop fearing him. He can't have that. Fear is his power.","It's his weakness, too. His mean don't want to fight for him. They're forced to fight for him. If they feel the tide turning..."
You and Stannis cut through us like piss through snow.,"We're digging trenches all along our flanks. They won't be able to hit us the way that Stannis hit you, in a double envelopment."
stares blankly at JON SNOW.,A pincer move.
A pincer move.,They won't be able to hit us from the sides.
Did you really think that cunt would fight you man to man?,No. But I wanted to make him angry. I want him coming at us full tilt.
"So you've met the enemy, drawn up your battle plans.","Aye, for what they're worth."
"You've known him for the space of a single conversation, you and your trusted advisors, and you sit around and make your plans on how to defeat a man you don't know. I lived with him. I know the way his mind works. I know how he likes to hurt people. Did it ever once occur to you that I might have some insight?",You're right.
You think he's going to fall into your trap. He won't He's the one who lays traps.,He's overconfident.
He plays with people. He's far better at it than you. He's been doing it all his life.,"Aye, and what have I been doing all my life? Playing with broomsticks? I fought beyond the Wall against worse than Ramsay Bolton. I've defended the Wall from worse than Ramsay Bolton."
You don't know him.,"All right, tell me. What should we do? How do we get Rickon back?"
"We'll never get him back. Rickon is Ned Starks trueborn son, which makes him a greater threat to Ramsay than you, a bastard, or me, a girl. As long as he lives, Ramsay's claim to Winterfell will be contested, which means he won't live long.",We can't give up on our brother.
"Listen to me, please. He wants you to make a mistake.",Of course he does. What should I do differently?
I don't know! I don't know anything about battles! Just don't do what he wants you to do.,"Aye, that's good advice."
You think that's obvious?,"Well, it is a bit obvious."
"If you had asked for my advice earlier, I would have told you not to attack Winterfell until we have a larger force, or is that obvious, too?",When will we have a larger force?! We've pleaded with every house that'll have us! The Blackfish can't help us! We're lucky to have this many men!
It's not enough!,"Now, it's not enough! It's what we have! Battles have been won against greater odds."
"If Ramsay wins, I'm not going back there alive. Do you understand me?","SNOW I won't ever let him touch you again. I'll protect you, I promise."
Happy shitting.,My lady. You weren't at the war council.
I'm not a soldier.,Any advice?
Don't lose.,"If I do, if I fall, don't bring me back."
I'll have to try.,I'm ordering you not to bring me back.
"I am not your servant, Jon Snow.",You're in my camp. I'm the commander.
I serve the Lord of Light. I do what he commands.,How do you know what he commands?
"I interpret his signs as well as I can. If the Lord didn't want me to bring you back, how did I bring you back? I have no power. Only what he gives me and he gave me you.",Why?
I don't know. Maybe you're only needed for this small part of his plan and nothing else. Maybe he brought you here to die again.,What kind of god would do something like that?
Loose!,Get word --
I've reconsidered. I think that sounds like a wonderful idea.,We're going to bury my brother in the crypt next to my father.
No women or children!,"When we had feasts, our family would sit up here… and I'd sit down there."
"Could have been worse, Jon Snow. You had a family. You had feasts.","Aye, you're right. I was luckier than most."
"Aye, you're right. I was luckier than most.",What is that?
I ask your leave to execute this woman for murder. She admits to the crime.,Do you have anything to say for yourself?
"I've been ready to die for many years. If the Lord was done with me, so be it, but he's not. You've seen the Night King, Jon Snow. You know the great war is still to come. You know the army of the dead will be upon us soon. And you know I can help you win that war.","Ride south today. If you return to the North, I'll have you hanged as a murderer."
"If you ever come back this way, I will execute you myself.",I'm having the lordo s chamber prepared for you.
Mother and Father's room? You should take it.,I'm not a Stark.
You are to me.,You're the Lady of Winterfell. You deserve it. We're standing here because of you. The battle was lost until the Knights of the Vale rode in. They came because of you. You told me Lord Baelish sold you to the Boltons.
He did.,And you trust him?
"Only a fool would trust Littlefinger. I should have told you about him, about the Knights of the Vale. I'm sorry.",We need to trust each other. We can't fight a war amongst ourselves. We have so many enemies now.
A raven came from the Citadel. A white raven. Winter is here.,"Well, Father always promised, didn't he?"
Not by me.,"The free folk, the northerners, and the Knights of the Vale fought bravely, fought together, and we won. My father uses to say we find our true friends on the battlefield."
"The Boltons are defeated. The war is over. Winter has come. If the maesters are right, it'll be the coldest one in a thousand years. We should ride home and wait out the coming storms.","The war is not over. And I promise you, friend, the true enemy won't wait out the storm. He brings the storm."
I did not fight beside you on the field and I will regret that until my dying day. A man can only admit when he was wrong and ask forgiveness.,"There's nothing to forgive, my lord."
"Okay, come on. Let's get them inside.","I want every northern maester to scour their records for any mention of dragonglass. Dragonglass kills white walkers. It's more valuable to us now than gold. We need to find it, we need to mine it, we need to make weapons from it. Everyone aged 10 to 60 will drill daily with spears, pikes, bow and arrow."
It's about time we taught these boys of summer how to fight.,Not just the boys.
Not just the boys.,We can't defend the North if only half the population is fighting.
"We'll begin training every man, woman, boy, and girl on Bear Island.","While we're preparing for attack, we need to shore up our defenses. The only thing standing between us and the Army of the Dead is the Wall and the Wall hasn't been properly manned in centuries. I'm not the king of the Free Folk."
"While we're preparing for attack, we need to shore up our defenses. The only thing standing between us and the Army of the Dead is the Wall and the Wall hasn't been properly manned in centuries. I'm not the king of the Free Folk.",But if we're going to survive this winter together...
You want us to man the castles for you?,Last time we saw the Night King was at Hardhome. The closest castle to Hardhome is Eastwatch-by-the-Sea.
Then that's where I'll go. Looks like we're the Night's Watch now.,"If they breach the wall, the first two castles in their path are Last Hearth and Karhold."
Aye!,The Umbers and the Karstarks have fought beside the Starks for centuries. They've kept faith for generation after generation.
And then they broke faith.,I'm not going to strip these families of their ancestral homes because of the crimes of a few reckless sons.
So there's no punishment for treason and no reward for loyalty?,The punishment for treason is death. Smalljon Umber died on the field of battle. Harald Karstark died on the field of battle.
They died fighting for Ramsay. Give the castles to the families of the men who died fighting for you.,"When I was Lord Commander of the Night's Watch I executed men who betrayed me. I executed men who refused to follow orders. My father always said, The man who passes the sentence should swing the sword, and I have tried to live by those words. But I will not punish a son for his father's sins, and I will not take a family home away from a family it has belonged to for centuries. That is my decision, and my decision is final."
"When I was Lord Commander of the Night's Watch I executed men who betrayed me. I executed men who refused to follow orders. My father always said, The man who passes the sentence should swing the sword, and I have tried to live by those words. But I will not punish a son for his father's sins, and I will not take a family home away from a family it has belonged to for centuries. That is my decision, and my decision is final.",Ned Umber.
Ned Umber.,Alys Karstark.
Alys Karstark.,"For centuries, our families fought side by side on the battlefield. I ask you to pledge your loyalty once again to House Stark, to serve as our bannermen and come to our aid whenever called upon."
"For centuries, our families fought side by side on the battlefield. I ask you to pledge your loyalty once again to House Stark, to serve as our bannermen and come to our aid whenever called upon.",Stand.
Stand.,"Yesterday's wars don't matter anymore. The North needs to band together, all the living north. Will you stand beside me, Ned and Alys, now and always?"
Now and always!,"You are my sister, but I am king now."
Will you start wearing a crown?,"When you question my decisions in front of the other lords and ladies, you undermine me."
So I can't question your decisions anymore?,"Of course you can, but--"
Joffrey never let anyone question his authority. You think he was a good king?,Do you think I'm Joffrey?
You're as far from Joffrey as anyone I've ever met.,Thank you.
"You're good at this, you know.",At what?
At ruling.,No.
Why are you laughing?,What did father used to say? Everything before the word but is horse shit.
He never said that to me.,"No. No, he never cursed in front of his girls."
"Because he was trying to protect us. He never wanted us to see how dirty the world really is, but Father couldn't protect me and neither can you. Stop trying.","All right, I'll stop trying to protect you and you stop trying to undermine me."
"You have to be smarter than Father. You need to be smarter than Robb. I loved them, I miss them, but they made stupid mistakes, and they both lost their heads for it.",And how should I be smarter? By listening to you?
"A raven from King's Landing, Your Grace.","Cersei of House Lannister, First of Her Name, Queen of the Andals and the First Men, Protector of the Seven Kingdoms--"
What does she want?,Come to King's Landing. Bend the knee or suffer the fate of all traitors.
"You've been so consumed with the enemy to the north, you've forgotten about the one to the south.","I'm consumed with the Night King because I've seen him. And believe me, you'd think of little else if you had, too."
We still have a wall between us and the Night King. Theres nothing between us and Cersei.,There's a thousand miles between us and Cersei. Winter is here. The Lannisters are a southern army. They've never ranged this far north.
"You're the military man, but I know her. If you're her enemy, she'll never stop until she's destroyed you. Everyone who's ever crossed her, she's found a way to murder.",You almost sound as if you admire her.
Do you think it's really Tyrion? It could be someone trying to lure you into a trap.,Read the last bit.
All dwarfs are bastards in their father's eyes. What does that mean?,It's something he said to me the first night we met. You know him better than any of us. What do you think?
"Sounds like a charmer. Of course, the casual mention of a Dothraki horde, a legion of Unsullied and three dragons, a bit less charming.",What?
"No, too dangerous.",But?
"No, I won't. I'm like you, Ary. I'm a survivor.",Come in.
"A raven, My King, from the Citadel.",This message was sent to me by Samwell Tarley. He was my brother at the Night's Watch. A man I trust as much as anyone in this world. He's discovered proof that Dragonstone sits on a mountain of Dragonglass.
This message was sent to me by Samwell Tarley. He was my brother at the Night's Watch. A man I trust as much as anyone in this world. He's discovered proof that Dragonstone sits on a mountain of Dragonglass.,I received this a few days ago from Dragonstone. It was sent to me by Tyrion Lannister.
I received this a few days ago from Dragonstone. It was sent to me by Tyrion Lannister.,"He's now Hand of the Queen to Daenerys Targaryen. She intends to take the Iron Throne from Cersei Lannister. She has a powerful army at her back and if this message is to be believed, three dragons."
"He's now Hand of the Queen to Daenerys Targaryen. She intends to take the Iron Throne from Cersei Lannister. She has a powerful army at her back and if this message is to be believed, three dragons.",Lord Tyrion has invited me to Dragonstone to meet with Daenerys and I'm going to accept.
Lord Tyrion has invited me to Dragonstone to meet with Daenerys and I'm going to accept.,"We need this Dragonglass, My Lords. We know that Dragonglass can destroy both White Walkers and their army. We need to mine it and turn it into weapons."
"We need this Dragonglass, My Lords. We know that Dragonglass can destroy both White Walkers and their army. We need to mine it and turn it into weapons.","But more importantly, we need allies. The Night King's army grows larger by the day. We can't defeat them on our own. We don't have the numbers. Daenerys has her own army and she has dragon fire. I need to try and persuade her to fight with us. Ser Davos and I will ride for White Harbor tomorrow, then sail for Dragonstone."
Have you forgotten what happened to our grandfather? The Mad King invited him to King's Landing and roasted him alive.,I know that.
"She is here to reclaim the Iron Throne and the Seven Kingdoms. The north is one of those seven kingdoms. This isn't an invitation, it's a trap.","It could be, but I don't believe Tyrion would do that. You know him. He's a good man."
"Winter is here, Your Grace. We need the King in the North in the north.","You all crowned me your king. I never wanted it, I never asked for it, but I accepted it because the north is my home. It's part of me and I will never stop fighting for it, no matter the odds. But the odds are against us. None of you have seen the Army of the Dead. None of you. We can never hope to defeat them alone. We need allies, powerful allies. I know it's a risk. But I have to take it."
Then send an emissary. Don't go yourself.,Daenerys is a queen. Only a king can convince her to help us. It has to be me.
You're abandoning your people. Your abandoning your home.,I'm leaving both in good hands.
Whose?,"Yours. You are my sister. You are the only Stark in Winterfell. Until I return, the north is yours."
"I was sorry when he died. Your father and I had our differences but he loved Cat very much. So did I. She wasn't fond of you, was she? Well, it appears she vastly underestimated you. Your father and brothers are gone, yet here you stand King in the North. Last best hope against the coming storm.",You don't belong down here.
Forgive me. We have never talked properly. I wanted to remedy that.,I have nothing to say to you.
"Not even thank you? If it weren't for me you'd have been slaughtered at that battlefield. You have many enemies, My King, but I swear to you I'm not one of them. I love Sansa as I loved her mother.",Touch my sister and I'll kill you myself.
The bastard of Winterfell.,The dwarf of Casterly Rock.
I believe we last saw each other on top of the wall.,"You were pissing off the edge, if I remember right. You picked up some scars along the road."
Welcome to Dragonstone. Our queen knows this is a long journey. She appreciates the effort you have made on her behalf. If you wouldn't mind handing over your weapons.,Of course.
"And Sansa, I hear she's alive and well.",She is.
A sham marriage and unconsummated.,I didn't ask --
"Well, it was. It wasn't. Anyway, she's much smarter than she lets on.",She's starting to let on.
Good. At some point I want to hear how a Knight's Watch recruit became King in the North.,As long as you tell me how a Lannister became Hand to Daenerys Targaryen.
"A long and bloody tale. To be honest, I was drunk for most of it.",My bannermen think I'm a fool for coming here.
"Of course they do. If I was your hand I would have advised against it. General rule of thumb, Stark men don't fare well when they travel south.",True. But I'm not a Stark.
"Thank you for traveling so far, My Lords. I hope the seas weren't too rough.","The winds were kind, Your Grace."
"Forever. So I assume, My Lord, that you're here to bend the knee.",I am not.
"Oh. Well, that is unfortunate. You've travelled all this way to break faith with House Targaryen?",Break faith? Your father burned my grandfather alive. He burned my uncle alive. He would have burned the Seven Kingdoms.
"My father was an evil man. On behalf of House Targaryen I ask your forgiveness for the crimes he committed against your family. And I ask you not to judge a daughter by the sins of her father. Our two houses were allies for centuries. Those were the best centuries the kingdom's ever known. Centuries of peace and prosperity with the Targaryens sitting on the Iron Throne and a Stark serving as Warden of the North. I am the last Targaryen, Jon Snow. Honor the pledge your ancestor made to mine. Bend the knee and I will name you Warden of the North. Together we will save this country from those who would destroy it.",You're right. You're not guilty of your father's crime. And I'm not beholden to my ancestor's vows.
Then why are you here?,Because I need your help and you need mine.
Did you see three dragons flying overhead when you arrived?,I did.
"And did you see the Dothraki, all of whom have sworn to kill for me?",They're hard to miss.
Almost.,But you haven't stormed King's Landing. Why not? The only reason I can see is you don't want to kill thousands of innocent people. It's the fastest way to win the war but you won't do it. Which means at the very least you're better than Cersei.
"Still, that doesn't explain why I need your help.","Because right now you and I and Cersei and everyone else, we're children playing at a game screaming that the rules aren't fair."
I believe he's calling all of us children. Figure of speech.,"Your Grace, everone you know will die before winter is over if we don't defeat the enemy to the north."
"As far as I can see, you are the enemy to the north.",I am not your enemy. The dead are the enemy.
Is that another figure of speech?,The Army of the Dead is on the march.
The Army of the Dead?,"You don't know me well, My Lord, but do you think I am a liar or a madman?"
"No, I don't think you're either of those things.",The Army of the Dead is real. The White Walkers are real. The Knight King is real. I've seen them. If they get past the wall and we're squabbling amongst ourselves --
The Army of the Dead is real. The White Walkers are real. The Knight King is real. I've seen them. If they get past the wall and we're squabbling amongst ourselves --,we're finished.
They did for me. I was born to rule the Seven Kingdoms. And I will.,You'll be ruling over a graveyard if we don't defeat the Night King.
Swear your allegiance to Queen Daenerys. Help her to defeat my sister and together our armies will protect the north.,There's no time for that. There's no time for any of this. While we stand here debating --
It takes no time to bend the knee. Pledge your sword to her cause.,And why would I do that?
And why would I do that?,"I mean no offense, Your Grace, but I don't know you. As far as I can tell your claim to the throne rests entirely on your father's name. And my own father fought to overthrow the Mad King. The lords of the north placed their trust in me to lead them. And I will continue to do so as well as I can."
You must forgive my manners. You will both be tired after your long journey. We'll have baths drawn for you and supper sent to your rooms.,Am I your prisoner?
I came out here to brood over my failure to predict the Greyjoy attack. You're making it difficult. You look a lot better brooding than I do. You make me feel like I'm failing at brooding over failing.,I'm a prisoner on this island.
"I wouldn't say you're a prisoner on this island. You're free to walk the castle, the beaches, to go wherever you want.",Except to my ship. They took my ship.
I wouldn't say we took your ship.,I'm not playing word games with you. The dead are coming for us all.
"Why don't you figure out what to do about my missing fleet and murdered allies, and I'll figure out what to do about your walking dead men.",It's hard for me to fathom. It really is. If someone told me about the White Walkers and the Night King --
It's hard for me to fathom. It really is. If someone told me about the White Walkers and the Night King --,You probably don't believe me.
I do actually.,You didn't before. Grumpkins and snarks you called them. Do you remember? You said it was all nonsense.
"It was all nonsense. Everybody knew it. But then Mormont saw them and you saw them, and I trust the eyes of an honest man more than I trust what everybody knows.",How do I convince people who don't know me that an enemey they don't believe in is coming to kill them all?
Good question.,I know it's a good question. I'm looking for an answer.
"People's minds aren't made for problems that large. White Walkers, the Night King, Army of the Dead, it's almost a relief to confront a familiar monster like my sister.",I need to help prepare my people for what's coming. I can't help them from here. I'd like to leave.
It seems unlikely that you became King in the North by giving up that easily.,"Everyone told me to learn from my father's mistakes. Don't go south. Don't answer a summons from the Mad King's daughter, a foreign invader. And here I am. A northern fool."
So do you have anything reasonable to ask?,What do you mean?
You must allow them their flights of fancy. It's dreary in the north.,Amazing thing to see.
People thought dragons were gone forever but here they are. Perhaps we should all be examining what we think we know.,You've been talking to Tyrion?
He is my Hand.,He enjoys talking.
We all enjoy what we're good at.,I don't.
You know I'm not going to let Cersei stay on the Iron Throne.,I never expected that you would.
And I haven't changed my mind about which kingdoms belong to the throne.,I haven't either.
I will allow you to mine the Dragonglass and forge weapons from it. Any resources or men you need I will provide for you.,Thank you.
Thank you.,So you believe me then about the Night King and the Army of the Dead?
Many things?,Your Grace.
descends the stairs with MISSANDEI and they begin walking with JON. They walk along the beach until they reach a cave. DAVOS is waiting for them with a lit torch.,I wanted you to see it before we start hacking it to bits.
I wanted you to see it before we start hacking it to bits.,leads DAENERYS and MISSANDEI into the cave. He lights a brazier and illuminates the Dragonglass along the walls. He continues walking deeper into the cave.
leads DAENERYS and MISSANDEI into the cave. He lights a brazier and illuminates the Dragonglass along the walls. He continues walking deeper into the cave.,"So this is it, all we'll ever need."
is looking up at the walls of Dragonglass.,"There is something else I want to show your, Your Grace."
"There is something else I want to show your, Your Grace.",and DAENERYS go to a further chamber in the cave. There are murals painted on the walls of Dragonglass.
and DAENERYS go to a further chamber in the cave. There are murals painted on the walls of Dragonglass.,The Children of the Forest made these.
When?,A very long time ago.
They were right here standing where we're standing before there were Targaryens or Starks or Lannisters. Maybe even before there were men.,No.
stops looking at the walls and turns to look at JON. JON walks to another wall and begins to examine the murals. The murals depict Children of the Forest and the First Men standing together.,They were here together the Children and the First Men.
Doing what? Fighting each other?,takes DAENERYS by the arm and swings her torch to another part of the wall. There is a mural of the Night King and White Walkers.
"They fought together against their common enemy. Despite their differences, despite their suspicions, together. We need to do the same if we're going to survive.",and DAENERYS look back at the wall with the Night King.
and DAENERYS look back at the wall with the Night King.,Because the enemy is real. It's always been real.
And you say you can't defeat them without my armies and my dragons?,"No, I don't think I can."
I will fight for you. I will fight for the north...when you bend the knee.,"My people won't accept a southern ruler, not after everything they've suffered."
They will if their king does. They chose you to lead them. They chose you to protect them. Isn't their survival more important than your pride?,"and DAENERYS, DAVOS and MISSANDEI are walking out of the cave. As they exit TYRION and VARYS are standing on the beach awaiting them. DAENERYS begins addressing Tyrion."
What do you think I should do?,I would never presume to --
begins walking close to JON.,looks over the ocean at the dragons flying.
looks over the ocean at the dragons flying.,I never thought that dragons would exist again. No one did. The people who follow you know that you made something impossible happen. Maybe that helps them believe that you can make other impossible things happen. Build a world that's different from the shit one they've always known.
I never thought that dragons would exist again. No one did. The people who follow you know that you made something impossible happen. Maybe that helps them believe that you can make other impossible things happen. Build a world that's different from the shit one they've always known.,glances back towards the dragons.
glances back towards the dragons.,"But if you use them to melt castles and burn cities, you're not different. You're just more of the same."
collects her sword. SANSA walks away. BAELISH remains on the balcony staring at ARYA who looks up at him. BAELISH bows to ARYA and walks away.,and DAVOS are walking along the paths outside of Dragonstone having a discussion.
What do you think of her?,Who?
I believe you know of whom I speak.,I think she has a good heart.
A good heart? I've noticed you starring at that good heart.,"There's no time for that. I saw the Night King, Davos. I looked into his eyes. How many men do we have in the north to fight him? 10,000? Less?"
Fewer.,What?
"King Snow, isn't it? No? That doesn't sound right. King Jon?",It doesn't matter.
"Forgive me, but may I ask a question?",Of course.
"Your name is Jon Snow, but your father's name was Ned Stark?",I'm a bastard. My mother and father weren't married.
The sounds liberating.,Why did you leave your homeland?
I was stolen away by slavers.,I'm sorry.
I serve my queen because I want to serve my queen. Because I believe in her.,And if you wanted to sail home to Naarth tomorrow --
Then she would give me a ship and wish me good fortune.,You believe that?
You'll forgive me if I switch sides.,notices a single ship sailing into the bay. It has a kraken sigil. MISSANDEI turns to look.
notices a single ship sailing into the bay. It has a kraken sigil. MISSANDEI turns to look.,Is that a Greyjoy ship?
"Sansa, is she all right?",grabs THEON by his shirt and pulls him face to face.
grabs THEON by his shirt and pulls him face to face.,What you did for her is the only reason I'm not killing you.
What you did for her is the only reason I'm not killing you.,releases THEON.
Euron has her. I came to ask the queen to help get her back.,The queen is gone.
So we fight and die or we submit and die. I know my choice. A soldier should know his.,SNOW is standing on the edge of a cliff looking towards the ocean. DROGON roars and flies over him with DAENERYS on his back. DROGON lands next to JON and charges towards him. DROGON opens his jaws and roars in JON's face. DROGON creeps closer until he is inches from JON. JON removes his glove and slowly extends his hand toward DROGON. DROGON lowers his head and allows JON to touch him. DAENERYS looks surprised and steps down from her mount. DROGON turns and flies away.
